name,type,address,위도,경도
명일중학교 테니스장,기타,서울특별시 강동구 양재대로156길 57,37.556318,127.148621
명일테니스장,테니스장,서울특별시 강동구 동남로 785,37.565911,127.1564239
명주근린공원 농구장,농구장,서울특별시 서초구 나루터로 43,37.5161333,127.0120671
명주근린공원 배드민턴장,배드민턴장,서울특별시 서초구 나루터로 43,37.5161333,127.0120671
목동다목적경기장,축구장,서울특별시 양천구 안양천로 939,37.5307847,126.8792558
목동문화체육센터,생활체육관,서울특별시 양천구 목동중앙본로 73,37.5428335,126.8691434
목동문화체육센터 골프연습장,골프연습장,서울특별시 양천구 목동중앙본로 73 ,37.5428335,126.8691434
목동문화체육센터 수영장,수영장,서울특별시 양천구 목동중앙본로 73 ,37.5428335,126.8691434
목동야구장,야구장,서울특별시 양천구 안양천로 939,37.5307847,126.8792558
목동종합운동장 실내아이스링크,기타,서울특별시 양천구 안양천로 939,37.5307847,126.8792558
목동종합운동장 주경기장,기타,서울특별시 양천구 안양천로 939,37.5307847,126.8792558
목동청소년센터,생활체육관,서울특별시 양천구 목동서로 143,37.528099,126.8743901
목동청소년센터 수영장,수영장,서울특별시 양천구 목동서로 143,37.528099,126.8743901
목동타운홀,기타,서울특별시 양천구 목동동로 345,37.5140856,126.8570498
목동테니스장,테니스장,서울특별시 양천구 목동동로 298,37.5140856,126.8570498
목마공원 게이트볼장,기타,서울특별시 양천구 목동동로 441,37.5140856,126.8570498
무악배드민턴장,배드민턴장,서울특별시 종로구 통일로18가길 46,37.5777709,126.9594924
묵2동문화체육복합센터,생활체육관,서울특별시 중랑구 중랑역로 181,37.6161192,127.0779451
묵동다목적체육관,생활체육관,서울특별시 중랑구 숙선옹주로 66,37.6183293,127.0867775
문래청소년센터,생활체육관,서울특별시 영등포구 문래로 110,37.5179855,126.9056506
문래청소년센터 수영장,수영장,서울특별시 영등포구 문래로 110,37.5179855,126.9056506
미성체육관,생활체육관,서울특별시 관악구 난우16길 37,37.4775895,126.9192268
박미족구장,기타,경기도 안양시 만안구 경수대로 1431,37.4315519,126.9036484
반포종합운동장 게이트볼장,기타,서울특별시 서초구 신반포로16길 30 ,37.5013484,126.9974301
반포종합운동장 농구장,농구장,서울특별시 서초구 신반포로16길 30 ,37.5013484,126.9974301
반포종합운동장 배드민턴장,배드민턴장,서울특별시 서초구 신반포로16길 30 ,37.5013484,126.9974301
반포종합운동장 인라인스케이트장,기타,서울특별시 서초구 신반포로16길 30 ,37.5013484,126.9974301
반포종합운동장 족구장,기타,서울특별시 서초구 신반포로16길 30 ,37.5013484,126.9974301
반포종합운동장 축구장,축구장,서울특별시 서초구 신반포로16길 30 ,37.5013484,126.9974301
반포종합운동장 테니스장,테니스장,서울특별시 서초구 신반포로16길 30 ,37.5013484,126.9974301
반포종합운동장 풋살경기장,축구장,서울특별시 서초구 신반포로16길 30 ,37.5013484,126.9974301
반포종합운동장체육센터,생활체육관,서울특별시 서초구 신반포로16길 30,37.5013484,126.9974301
반포종합운동장체육센터 골프연습장,골프연습장,서울특별시 서초구 신반포로16길 30 ,37.5013484,126.9974301
반포종합운동장체육센터 탁구장,기타,서울특별시 서초구 신반포로16길 30,37.5013484,126.9974301
반포한강공원 농구장,농구장,서울특별시 서초구 신반포로11길 40,37.5034254,126.9926665
반포한강공원 배드민턴장,배드민턴장,서울특별시 서초구 신반포로11길 40,37.5034254,126.9926665
반포한강공원 축구장,축구장,서울특별시 서초구 신반포로11길 40,37.5034254,126.9926665
방배열린문화센터 골프연습장(코오롱스포렉스 방배점),골프연습장,서울특별시 서울 서초구 방배로 173,37.489007,126.9923344
방배열린문화센터 수영장(코오롱스포렉스 방배점),수영장,서울특별시 서울 서초구 방배로 173,37.489007,126.9923344
방배열린문화센터(코오롱스포렉스 방배점),생활체육관,서울특별시 서울 서초구 방배로 173,37.489007,126.9923344
방화근린공원 농구장,농구장,서울특별시 강서구 금낭화로 176,37.5685495,126.8111555
방화동 구립 배드민턴장,테니스장,서울특별시 강서구 금낭화로26가길 152-8,37.582662,126.8125961
방화동테니스장,테니스장,서울특별시 강서구 방화3동 36-14,37.5835328,126.8212775
보라매공원 인공암벽장,기타,서울특별시 동작구 여의대방로20길 33,37.4904437,126.9179364
보라매공원 축구장,축구장,서울특별시 동작구 여의대방로20길 35,37.4957316,126.9180762
보라매공원 테니스장,테니스장,서울특별시 동작구 여의대방로20길 33,37.4904437,126.9179364
봉래체육문화센터,수영장,서울특별시 중구 손기정로 73,37.5569187,126.9616157
봉래초등학교,기타,서울특별시 중구 중림동 손기정로 73,37.5552447,126.9637745
봉은테니스장,테니스장,서울특별시 강남구 삼성동 75,37.5147838,127.0543618
북성초등학교,기타,서울특별시 서대문구 북아현로1나길 22,37.5591219,126.9511432
북아현문화체육센터,생활체육관,서울특별시 서대문구 북아현로 51,37.568432,126.949715
북악골프연습장,골프연습장,서울특별시 성북구 북악산로 537-14,37.6005111,127.0171049
북한산국제클라이밍센터,기타,서울특별시 강북구 삼양로173길 80,37.6615268,127.0087182
불암산스포츠타운 론볼장,기타,서울특별시 노원구 중계로 36,37.6385145,127.0840912
불암산스포츠타운 배드민턴장,배드민턴장,서울특별시 노원구 중계로 36,37.6385145,127.0840912
불암산스포츠타운 야구장,야구장,서울특별시 노원구 중계로 36,37.6385145,127.0840912
불암산스포츠타운 족구장,기타,서울특별시 노원구 중계로 36,37.6385145,127.0840912
불암산스포츠타운 축구장,축구장,서울특별시 노원구 중계로 36,37.6385145,127.0840912
불암산스포츠타운 테니스장,테니스장,서울특별시 노원구 중계로 36,37.6385145,127.0840912
불암산스포츠타운 풋살장,축구장,서울특별시 노원구 중계로 36,37.6385145,127.0840912
사당종합체육관,생활체육관,서울특별시 동작구 사당로27길 232,37.4928048,126.9696613
