name,lat,lng
동묘.숭인동도깨비시장,37.5734766,127.0180439
서울풍물시장,37.57334003,127.0231781
청와대,37.58268481,126.97376
서울역사박물관.경희궁,37.569902,126.971956
명동성당.남대문세무서,37.56498481,126.9875299
국가인권위.안중근활동터,37.56435047,126.9878515
서울역버스환승센터,37.55514602,126.9722571
서울역버스환승센터,37.55540298,126.9725925
서울역버스환승센터,37.55538899,126.9727238
서울역버스환승센터,37.55547941,126.9728548
서울역버스환승센터.강우규의거터,37.55541416,126.9729403
숭례문,37.55863886,126.9737784
숭례문(가상),37.55979677,126.9743556
서울시청,37.56613826,126.9806321
만리동고개,37.55178706,126.9626582
손기정체육공원입구,37.55444595,126.9662339
서울의료보건고등학교.서울역서부,37.5558479,126.9689026
서울역서부,37.55623764,126.9691514
서울역서부,37.555855,126.969293
중림동교차로,37.55838363,126.9691354
중림동.충정로역2호선,37.55964888,126.9645408
한국경제신문사.서소문역사공원,37.56021115,126.967868
한국경제신문사.서소문역사공원,37.56062347,126.9681135
경찰청.동북아역사재단,37.56304949,126.9691267
장충동써미트호텔,37.56227366,127.006675
농협은행.유관순활동터,37.56490628,126.9677868
염천교,37.55986963,126.9731141
숭례문,37.55840106,126.9733579
숭례문.한국일보,37.55877131,126.9737376
후암삼거리,37.5534056,126.9759938
숭례문,37.55876338,126.9743627
숭례문,37.55841953,126.9740437
숭례문.서울역4번출구,37.55800065,126.9736279
숭례문.남대문시장8번출입구,37.5588724,126.9759977
숭례문남산방향,37.55855816,126.9756721
남대문시장.신세계앞,37.56119108,126.9800598
북창동.남대문시장,37.561273,126.978555
소공동주민센터,37.56219717,126.9764437
삼성본관앞,37.56205175,126.9759075
시청역8번출구,37.56276421,126.9761487
시청역9번출구.시청서소문2청사,37.56319014,126.9746522
서소문,37.563722,126.975314
시청.서소문청사,37.56352484,126.9749539
광교,37.56810692,126.9828444
서울신문사,37.56836329,126.9773647
명동성당,37.56497416,126.9874194
우리은행종로지점,37.56783904,126.9828659
롯데백화점,37.56450698,126.982207
해운센터.롯데영플라자,37.56289078,126.9815478
명동.롯데영플라자,37.562885,126.982008
명동입구B,37.56442477,126.9823981
신세계백화점,37.56112734,126.9814315
남대문시장.회현역,37.55826752,126.9777651
남대문시장.회현역,37.55849203,126.9784645
남산3호터널,37.55831045,126.9827404
남산3호터널.정화예술대학교,37.55952609,126.9826359
명동역4번출구,37.56065785,126.9849158
퇴계로2가.명동역5번출구,37.56093258,126.9843583
충무로역.한옥마을.한국의집,37.56125082,126.9917772
충무로역.한옥마을.한국의집,37.56090197,126.9924098
충무로역2번출구,37.56123759,126.9947285
충무로역8번출구,37.56203716,126.9964922
초동,37.56334618,126.993112
을지로입구.로얄호텔,37.56587574,126.9853903
을지로입구.시청입구,37.56613826,126.9811712
을지로2가.기업은행본점.서울노동청,37.56624623,126.9865234
을지로2가.파인에비뉴,37.56607271,126.9886708
을지로3가,37.56637298,126.99026
을지로3가,37.56613896,126.9914238
을지로4가,37.56668416,126.9959336
을지로4가.베스트웨스턴국도,37.56640104,126.9968473
중구청앞.덕수중학교,37.56471732,126.9981485
방산시장.을지로4가역6번출구,37.56681829,126.9992585
을지로5가.중부시장,37.56662004,127.001115
방산시장.훈련원종합체육관,37.56796085,127.0024045
을지로5가,37.56582435,127.0025946
을지로6가.국립중앙의료원,37.56616983,127.0062316
동대문역사문화공원역8번출구,37.56505283,127.0072097
동대문역사문화공원역9번출구,37.56517255,127.0077223
을지로6가.국립중앙의료원,37.56646311,127.0058435
동대문역사문화공원,37.56735414,127.0083555
동대문역사문화공원,37.5674835,127.0091685
충무아트센터.스포츠센터.중부소방서,37.56516753,127.0135231
충무아트센터.스포츠센터.중부소방서,37.56501789,127.0147409
성동공업고등학교(무궁화회관),37.56834819,127.0157558
성동공업고등학교앞,37.56869506,127.0161295
신당역1번출구.서울중앙시장,37.56572828,127.0187427
신당역4번출구.서울중앙시장,37.56549207,127.0194795
성동고등학교,37.56559419,127.0221822
성동고등학교,37.56524109,127.0223979
신당동떡볶이타운.중구여성플라자,37.56279546,127.015096
신당동떡볶이타운.중구여성플라자,37.56231004,127.0151909
청구초등학교.청구역,37.5589483,127.0132161
장충초등학교.청구역,37.5592574,127.0130317
약수역2번출구.가온도서관,37.55579291,127.0110429
약수역3번출구.약수하이츠,37.55574961,127.0113797
약수역4번출구.금호터널입구,37.553399,127.012012
약수역5번출구.금호터널입구,37.55292373,127.0118693
약수역8번출구.신당사회복지관,37.55386465,127.0099567
약수역7번출구.약수동주민센터,37.55285097,127.0092978
송도병원앞,37.55026765,127.0077187
송도병원앞,37.55022712,127.0073984
약수역1번출구,37.55625253,127.0097556
장충체육관앞,37.55833622,127.0080611
장충체육관앞,37.55800173,127.0078282
장충동.동국대입구,37.56062132,127.0059098
장충동.동국대입구,37.56066639,127.0056291
