school_name,type,lat,lng
서울용곡초등학교,초등학교,37.56710862,127.088453
성심여자중학교,중학교,37.53420937,126.9545934
서울신흥초등학교,초등학교,37.45934816,126.9093508
서울양명초등학교,초등학교,37.51637495,126.8566349
서울동구고등학교,고등학교,37.59410587,127.0082153
리라초등학교,초등학교,37.5578197,126.9879121
서울언북초등학교,초등학교,37.52012517,127.0447158
대성중학교,중학교,37.62314228,126.9097907
서울상월초등학교,초등학교,37.65865224,127.05698
서울숭곡초등학교,초등학교,37.60840947,127.0328151
서울대영초등학교,초등학교,37.50267937,126.9063367
서울상암초등학교,초등학교,37.57633795,126.8923219
서라벌고등학교,고등학교,37.64525653,127.0758406
한세사이버보안고등학교,고등학교,37.55178983,126.9520321
혜성여자고등학교,고등학교,37.64055021,127.0736197
서울새솔초등학교,초등학교,37.61798909,127.1113284
성신여자고등학교,고등학교,37.59428963,127.0224072
서울구남초등학교,초등학교,37.53709659,127.0922888
서일문화예술고등학교,고등학교,37.57937936,127.0127598
서울면북초등학교,초등학교,37.59441816,127.1035478
서울안천초등학교,초등학교,37.45874564,126.88839
인헌중학교,중학교,37.47269621,126.9688402
중앙대학교사범대학부속고등학교,고등학교,37.4919059,127.0521116
청담고등학교,고등학교,37.52800302,127.0437002
경희중학교,중학교,37.59394914,127.054891
서울홍제초등학교,초등학교,37.59350546,126.9454205
대광고등학교,고등학교,37.57795467,127.0253235
이수중학교,중학교,37.48063003,126.989859
중산고등학교,고등학교,37.48574293,127.0814285
보성고등학교,고등학교,37.52008989,127.1357293
서울서신초등학교,초등학교,37.59229405,126.9073823
서울중목초등학교,초등학교,37.59008735,127.0793361
월계중학교,중학교,37.63113114,127.0523203
서울신남성초등학교,초등학교,37.48815254,126.96487
서울선곡초등학교,초등학교,37.61869443,127.0578029
서울오류초등학교,초등학교,37.49752741,126.84203
서울체육고등학교,고등학교,37.52233038,127.1298226
서울금옥초등학교,초등학교,37.54584824,127.0176012
서울가곡초등학교,초등학교,37.55570761,126.8361031
서울정덕초등학교,초등학교,37.59823995,127.0134213
개운중학교,중학교,37.59462665,127.0248421
언남고등학교,고등학교,37.47233002,127.0430052
광진중학교,중학교,37.53221959,127.0901621
서울상현초등학교,초등학교,37.49487439,126.9526884
서울한천초등학교,초등학교,37.62070936,127.0692435
